title,source,published,description
Fire Pump Market to Reach US$ 757.7 Mn by 2033 Driven by Fire Safety Compliance and Infrastructure Expansion - Persistence Market Research,PRNewswire,2026-06-08T14:01:00Z,"LONDON, June 8, 2026 /PRNewswire/ -- The global fire pump market is growing steadily, expected to be valued at around US$ 591.5 million in 2026 and projected to reach US$ 757.7 million by 2033, with a CAGR of 3.6% in the coming years. This expansion is driven…"
Prefabricated Panels Market Size to Reach USD 115.79 Billion by 2035 as Sustainable Construction Demand Accelerates Worldwide | SNS Insider,GlobeNewswire,2026-06-08T11:01:00Z,"U.S. Market Projected to Hit USD 28.51 Billion by 2035, While Europe Advances Toward USD 31.85 Billion on Energy-Efficient Building Initiatives U.S. Market Projected to Hit USD 28.51 Billion by 2035, While Europe Advances Toward USD 31.85 Billion on Energy-Ef…"
Bulldozers in paradise: how a massive infrastructure project threatens an isolated island community,NPR,2026-06-07T20:53:14Z,"India plans to build a major port, airport and town on pristine, remote Great Nicobar Island. Supporters say it could boost trade and jobs, but critics worry about environmental damage."
"Kolkata metro gets 60 new trains, Rs 1 lakh crore railway projects for West Bengal",The Times of India,2026-06-06T14:10:24Z,"Union Railway Minister Ashwini Vaishnaw announced 60 next-generation trains for Kolkata Metro in five years, alongside Rs 1 lakh crore in railway projects for West Bengal. Bullet trains connecting Delhi to Siliguri in six hours were also promised. The state g…"
LiDAR on fixed infrastructures: Is LiDAR now powering the smart cities?,Digital Journal,2026-06-05T23:17:07Z,"Cities used to think of LiDAR (Light Detection and Ranging) as something that belonged on the roof of a self-driving car or on the “head” of a warehouse robot. Today, that is changing. The same 3D sensing technology is quietly moving off vehicles and onto the…"
"Citizens’ group demands review of Rs 12k-crore Thane Ring Metro Project, flags planning and environmental concerns",The Times of India,2026-06-05T18:34:32Z,"Citizens’ group urges fresh review of ₹12,200-crore Thane Ring Metro, citing ridership doubts, financial viability, tree felling, mangrove impact and tunnel risks."
Water metro DPR to be prepared within two months,The Times of India,2026-06-05T17:49:54Z,"Goa’s water metro project moves ahead as state appoints Kochi Metro Rail Ltd to prepare DPR within two months; eight routes over 111 km identified, ninth under review."
Trans Sumatra railway will not rely on state budget: Minister,Antaranews.com,2026-06-05T09:46:55Z,"Indonesia Transportation Minister Dudy Purwagandhi has said the development of the Trans Sumatra railway project, connecting Banda Aceh to Bandar Lampung, ..."
7 locations in India where smart city initiatives are reshaping real estate,The Times of India,2026-06-05T09:42:49Z,"India's Smart Cities Mission has significantly transformed the way urban development is planned and executed. By focusing on better infrastructure, digital governance, sustainable mobility, public spaces and efficient services, smart city projects are creatin…"
